"id","generated_procedure_name","generated_procedure_description","procedure_name"
283,"EndoLink 9mm - The Direct Fixation Device for Secure Joint Restoration","This is a medical procedure used in orthopedic surgery for fixing soft tissue to bone. The Endobutton Direct Fixation Device is a small plastic button that slides onto a loop of suture and is used in procedures such as ACL reconstruction, rotator cuff repair, and ankle stabilization surgeries. The 9mm refers to the size of the device.","endobutton direct fixation device 9mm"
284,"Deep Brain Stimulation with 10 Electrode Contacts on Area 2101-10-101.","Deep Brain Stimulation with 10 Electrode Contacts on Area 2101-10-101.","electrode depth 10 contact 2101-10-101"
285,"Penis Enlargement Surgery with a 24cm Prosthetic Penis and a 700 Pump.","No Description","prosthesis penile precon 24cm pump 700"
286,"CT scan of neck with and without contrast for soft tissue evaluation.","This is a medical imaging procedure called a CT (computed tomography) scan of the neck that involves using a dye (contrast) to help visualize soft tissues. It is used to help diagnose and examine various conditions, including swelling, infection, tumors, and injuries in the neck region.","ct neck soft tissue w/ + w/o contrast"
287,"Computed Tomography (CT) scan of the cervical spine without contrast.","This is a medical imaging procedure called a CT scan of the cervical spine (neck area) without the use of contrast materials (i.e., dye). It is a non-invasive way to visualize the bones, muscles, and nerves of the neck area to help diagnose conditions such as spinal cord injuries, herniated discs, or tumors.","ct spine cervical w/o contrast"
288,"Renal Radiofrequency Ablation using CT guidance for the Right Kidney.","This is a medical procedure called CT-guided Radiofrequency Ablation (RFA) of the right renal (kidney) tumor. It is a minimally invasive procedure where a thin needle is inserted into the tumor, guided by CT imaging. The needle delivers high-frequency electric currents that heat and destroy the cancerous cells.","ct ablation renal rf right"
289,"MRI Cardiac Morphology and Function with Stress and without Contrast.","MRI (magnetic resonance imaging) is a medical imaging procedure that uses a magnetic field and radio waves to create detailed images of the body's organs and tissues. In this particular procedure, a cardiac MRI is being performed to assess the morphology (shape and structure) and function of the heart, both at rest and under stress. Cnt likely refers to contrast, which means that a contrast agent will be administered to enhance the visibility of certain structures.","mri cardiac morph fnct w/stress w/wo cnt"
290,"Delayed whole-body imaging for thyroid cancer using nuclear medicine.","Delayed whole-body imaging for thyroid cancer using nuclear medicine.","nm thyroid cancer imaging wb delay 2"
291,"Replacement of a Tunnled Central Venous Catheter with the Same Access","Replacement of a Tunnled Central Venous Catheter with the Same Access","replacement tunnled cvc same access"
292,"Dilation and Stenting of Narrowed Bile Ducts with or without Imaging.","This is a medical procedure called dilation of a biliary stricture with or without the placement of a stent, with inspection. It is typically performed to relieve obstruction or narrowing of the bile duct.","dilation biliary strict w/wo stent s&i"
293,"Full-Body PET/CT Scan with Axumin for Skull Base to Mid-Thigh Imaging","PET-CT is a medical imaging technology that combines Positron Emission Tomography (PET) and Computed Tomography (CT) scans to produce detailed images of the body's internal structures and functions. This imaging technique is often used to detect cancer, evaluate the extent of the disease and track the effectiveness of treatment. Axumin is a radiopharmaceutical agent used specifically for PET imaging of prostate cancer. The term skull base to midthigh specifies the area of the body being scanned, which includes the entire pelvis, hips, and thighs.","pet ct skull base to midthigh-axumin"
294,"Fiber Laser Omniguide Laparoscopic Blood Pressure Lowering Procedure.","Fiber Laser Omniguide Laparoscopic Blood Pressure Lowering Procedure.","fiber laser omniguide bp-le lap"
295,"Bone Building Boost: The Cartridge Cortoss 5cc Augmentation Treatment","This is a medical procedure called Cartridge Cortoss 5cc Bone Augmentation. It involves the use of a bone cement called Cortoss, which is used to stabilize and augment weakened or damaged bones. The procedure involves injecting the cement into the affected area, which hardens and strengthens the bone. It is commonly used in spinal surgeries and orthopedic procedures.","cartridge cortoss 5cc bone augmentation"
296,"Unilift Spine Spacer Procedure with Peek Material, 8x30x40 Dimensions","No description.","spacer spinal peek 8x30x40 unilift"
297,"MRI-guided thin blade osteotomy with a 12mm square-tipped instrument.","Medical Procedure: Blade osteotomeBlade osteotome is a surgical instrument that is used for cutting bones during surgeries. It has a sharp blade at the end, which can be used to cut through bone tissue with precision. The instrument is commonly used in orthopedic surgeries, dental surgeries and craniofacial surgeries.MRI and square tip have no relevance to blade osteotome. However, 12mm indicates the width of the blade, which is used for different sized bones during a surgery.","blade osteotome thin mri 12mm square tip"
298,"Catheterization with Pronto V4 Extract to Remove Blockages - 7Fr 4007","Catheterization with Pronto V4 Extract to Remove Blockages - 7Fr 4007","cath pronto v4 extract .014 7fr 4007"
299,"Distal Knee Augmentation - 3 to 4mm (Right) - Procedure Code 96-0866.","Distal Knee Augmentation - 3 to 4mm (Right) - Procedure Code 96-0866.","knee augmentation distal 3 4mm r 96-0866"
300,"Advanced Mesh Hernia Repair using Surgimend 2.0 with 20x30cm Coverage","This is a medical procedure called Mesh Surgimend 2.0 hernia repair, which involves using a 20x30 cm piece of mesh to repair a hernia. The mesh is placed over the weakened area of the abdominal wall and secured in place to prevent the hernia from protruding through the muscle.","mesh surgimend 2.0 hernia repair 20x30cm"
301,"Ultrasound-guided fine needle biopsy with EchoTip HD 19 gauge needle.","This is a medical procedure known as ultrasound-guided needle biopsy using Echotip HD 19ga needle.","needle biopsy ultrasound echotip hd 19ga"
302,"Surgical implantation of the Lucia 602 20.5 diopter intraocular lens.","This is a description of a medical procedure in ophthalmology involving the insertion of a specific type of intraocular lens (IOL) called the Lucia 602 with a power of 20.5 diopters, using computed tomography (CT) imaging to guide the placement of the lens.","lens iol ct lucia 602 20.5 diopter"
303,"Magnetic Resonance Imaging (MRI) of the Left Hip with and without Contrast","This is a medical imaging procedure in which an MRI (Magnetic Resonance Imaging) machine is used to capture detailed images of the left hip, both with and without the use of a contrast agent. The procedure is commonly used to diagnose and evaluate conditions affecting the hip joint or surrounding structures.","mri hip w/ + w/o contrast left"
304,"Magnetic Resonance Imaging (MRI) of the Lower Back without Contrast.","This is a medical imaging test called Magnetic Resonance Imaging (MRI) of the Lumbar Spine without contrast. It uses a strong magnetic field and radio waves to produce detailed images of the lumbar spine (lower back) without the use of contrast dye.","mri spine lumbar w/o contrast"
305,"Air-conducted Pure Tone Audiometry Screening (Procedure Code: 92551)","This is a pure tone hearing screening test that is conducted using air conduction only. It is used to assess the hearing of an individual across different frequencies.","$$ pure tone screening - air only 92551"
306,"Cryoablation of the Right Renal Region Using Percutaneous CT Imaging","This medical procedure is a CT-guided percutaneous cryoablation of the right renal (kidney) lesion. It involves using extreme cold to destroy abnormal cells in the kidney.","ct ablation renal perc cryo right"
307,"Right breast biopsy with additional lesion using ultrasound imaging.","The medical procedure is a breast biopsy, specifically targeting a suspicious lesion on the right breast.","breast biopsy add lesn us img right"
308,"Transcatheter Mitral Valve Repair with Prosthetic Valve Implantation","The medical procedure is transcatheter mitral valve repair or replacement with the insertion of a prosthetic valve.","trancath mitral valve repair-ea add prosthesis"
309,"Non-Invasive Brain Imaging with Advanced Spectral Imaging Technology","Non-Invasive Brain Imaging with Advanced Spectral Imaging Technology","deleted spect brain imaging"
310,"stetricsCaesarean Hysterectomy Surgery for Obstetrical Complications","Cesarean hysterectomy is a medical procedure where the uterus and cervix are surgically removed during a cesarean delivery. It is typically done for medical reasons such as uncontrollable bleeding or placenta accreta.","cesarean hysterectomy ob"
311,"Fiberoptic Laser Treatment for Enhanced Elevation and Elite Results.","Fiberoptic Laser Treatment for Enhanced Elevation and Elite Results.","fiber laser ent elevate elite"
312,"Balloon dilation of the Admiral vessel using a 4x60mmx130cm balloon.","No Description","balloon inpact admiral 4x60mmx130cm"
313,"Laser-Assisted Holmium Fiber Surgery with a 365 Micron Diameter Tip.","No Description","fiber laser holmium micron 365um bare"
314,"Right Knee Distal Posterior Femoral Condyle Size 4 12mm Augmentation","No Description","knee augmentation distal pfc sz4 12mm rt"
315,"Right distal patellofemoral joint surface size 2.5 knee augmentation","Right distal patellofemoral joint surface size 2.5 knee augmentation","knee augmentation distal pfc sz2.5 rt"
316,"Minimally Invasive Laser Probe Procedure with 300 Micron Fiber Optic","Minimally Invasive Laser Probe Procedure with 300 Micron Fiber Optic","probe fiber laser bare 300 micron"
317,"Electrode Strip for Precise Cortical Mapping with 10 Contact Points.","Electrode Strip for Precise Cortical Mapping with 10 Contact Points.","electrode strip cortac 10 contact pl"
318,"Laser fiber treatment for flexible endoscopy of the digestive tract.","Laser fiber treatment for flexible endoscopy of the digestive tract.","fiber laser flexiva id 1000 bx5 m006r8403941"
319,"Thick Regenerative Matrix Graft Procedure with Alloderm Select 8x20.","Thick Regenerative Matrix Graft Procedure with Alloderm Select 8x20.","graft alloderm select thick regenrative matrix 8x20"
320,"MRI-Compatible Quad Cobalt Pacemaker with IS1 DF4 and DTPB2D4 Leads.","This is a medical procedure involving the implantation of a pacemaker device called Cobalt HF 2 Quad MRI IS1 DF4 DTPB2D4. This pacemaker is designed to be MRI-compatible and may be used in patients who need both a pacemaker and magnetic resonance imaging (MRI) scans.","pacemaker cobalt hf 2 quad mri is1 df4 dtpb2d4"
321,"Computed Tomography (CT) Scan of Ankle without Contrast - Right Leg","This medical procedure is a CT scan of the right ankle without the use of a contrast agent.","ct ankle w/o contrast right"
322,"Magnetic Resonance Imaging (MRI) of Right Foot with and without Contrast.","This is a medical imaging procedure that uses a magnetic resonance imaging (MRI) scanner to obtain detailed images of the foot. The procedure may be done with and without the use of a contrast material to enhance the visibility of certain areas. Specifically, the right foot is being scanned.","mri foot w/ + w/o contrast right"
323,"Magnetic Resonance Imaging (MRI) of Right Ankle with and without Contrast","This is a medical imaging procedure that uses magnetic fields and radio waves to create detailed images of the ankle joint. The w/ stands for with, and the w/o stands for without, so MRI ankle w/ + w/o contrast right indicates that the procedure will include images with contrast dye and without contrast dye, and will focus on the patient's right ankle. The use of contrast dye can help to highlight any abnormalities or injuries within the joint.","mri ankle w/ + w/o contrast right"
324,"Transcatheter Mitral Valve Repair with Initial Prosthesis (TMVR-IP)","Transcatheter Mitral Valve Repair with Initial Prosthesis (TMVR-IP)","trancath mitral valve repair-initial prosthesis"
325,"Second Thoracic/Brachial Artery Selection for Additional Treatment.","No Description","select art thora/brach 2nd ea addl"
326,"CT-guided Air Assisted Intraoperative Lumbar Spine without Contrast","CT-guided Air Assisted Intraoperative Lumbar Spine without Contrast","ct airo intraop l spine w/o"
327,"Hip Joint Resurfacing with Acetabular Reflective Liner (Size 70-76)","Hip Joint Resurfacing with Acetabular Reflective Liner (Size 70-76)","hip liner acetab reflect 70-76"
328,"Precision surgical incision with a custom fit narrow scalpel blade.","Precision surgical incision with a custom fit narrow scalpel blade.","scalpel serengeti perfect molded narrow"
329,"Optilite Fiber Laser Treatment for Elevated Holmium Levels at 940nm","Optilite Fiber Laser Treatment for Elevated Holmium Levels at 940nm","fiber laser optilite flat holmium 940"
330,"Titanium Cylinder Scrotal Augmentation with Pump at 0 Degree Angle.","Titanium Cylinder Scrotal Augmentation with Pump at 0 Degree Angle.","set cylinder titan scrotal 0deg angle w/pump"
331,"MRI-Compatible Pacemaker Implant with Accolade IS-1 and SR Features","MRI-Compatible Pacemaker Implant with Accolade IS-1 and SR Features","pacemaker accolade is-1 mri sr"
332,"Smart cassette ultrasound-assisted irrigation and suction technique","No description","cassette sonopet iq irrigation suction"
333,"PLGA Meniscal Repair System with Needle Truespan at 12-Degree Angle","PLGA Meniscal Repair System with Needle Truespan at 12-Degree Angle","needle truespan plga meniscal repair system 12deg"
334,"Precision Stitch Meniscal Repair with 0-Degree Needle Truespan PLGA","Precision Stitch Meniscal Repair with 0-Degree Needle Truespan PLGA","needle truespan plga meniscal repair system - 0-degree"
335,"Assessment and Treatment of Multifaceted Wound with Ear Examination","Assessment and Treatment of Multifaceted Wound with Ear Examination","ot evaluation, med complex wound"
336,"Computed Tomography (CT) Scan of the Cervical Spine with Contrast.","CT spine cervical with contrast is a medical imaging procedure that uses a combination of X-rays and computer technology to create detailed images of the cervical spine (neck area). The contrast is a dye that is injected into the body to help highlight certain structures or areas of interest on the images. This imaging test can help diagnose various conditions and injuries affecting the cervical spine, such as herniated discs, fractures, spinal cord compression, and tumors.","ct spine cervical w/ contrast"
337,"Brain Scan with Magnetic Resonance Imaging (MRI) and Spectroscopy.","MRI brain spectroscopy is a medical procedure that uses advanced magnetic resonance imaging (MRI) technology to measure and analyze the chemical composition of a patient's brain tissues. This can help diagnose various neurological and psychiatric conditions, such as brain tumors, strokes, Alzheimer's disease, and depression. The procedure involves placing the patient inside an MRI scanner and using radio waves and magnetic fields to detect the presence and concentration of different chemicals in the brain, such as glucose, neurotransmitters, and metabolites.","mri brain spectroscopy"
338,"Comprehensive Audiology Evaluation with Speech Recognition (CAESR)","This is a medical procedure called Comprehensive Audiometry Threshold Evaluation and Speech Recognition (CPT code 92557), which is an assessment of hearing and speech ability conducted by an audiologist or qualified healthcare professional. It involves measuring the lowest level of sound that a person can hear at different frequencies and the ability to recognize and understand spoken words. This procedure is often used to diagnose hearing loss and to monitor the effectiveness of interventions such as hearing aids or cochlear implants.","comp audiometry threshold evaluation & speech recognition 92557"
339,"CT-guided epidural injection for lumbar or sacral spinal foramina.","The medical procedure is an epidural injection of contrast material and/or medication into the lumbar or sacral foramina for imaging purposes, typically using CT (computed tomography) guidance. It may be used for diagnosing or treating certain conditions, such as herniated discs or spinal stenosis.","ct injection lmbr/scrl foramina epidural"
340,"Brachiocephalic Selective Catheterization with Additional Imaging.","This is a medical procedure called Selective Catheterization with Angiography of Brachiocephalic Arteries with additional views. It involves the insertion of a catheter into the brachiocephalic artery, a major artery branching off the aorta, to inject contrast dye and visualize blood flow through the vessels. Additional views may be taken to obtain a more detailed image of the artery.","select cath art - brach-ceph ea addtl"
341,"Arterial Catheterization for Sampling, Monitoring, and Transfusion","Arterial catheterization is a medical procedure that involves the insertion of a thin, flexible tube (catheter) into an artery to sample, monitor, or transfuse blood. The arterial catheter is typically inserted into an artery in the wrist, groin, or neck, which allows healthcare providers to collect blood samples or measure blood pressure continuously. The procedure is commonly used in critical care settings to monitor patients with heart failure, shock, or other life-threatening conditions.","arterial cath - sample/monitor/transfuse"
342,"Freeze-kill treatment for bone tumors using CT-guided cryotherapy.","Freeze-kill treatment for bone tumors using CT-guided cryotherapy.","ct ablation bone tumor(s) cryo"
343,"Cardiac PET Scan with Wall Motion and Ejection Fraction Assessment","No Description","zz(+)wall motion and eject fract card pet"
344,"Indirect Qualitative Square Red Blood Cell Antibody Screening Test","No Description","rbc ab scrn,indirect qual-sq"
345,"Neurawrap 10: A Cutting-Edge Procedure for Protecting Your Nerves.","This is a medical procedure that involves implanting a neurawrap nerve protector that measures 10mm x 4cm. The neurawrap is designed to protect and support peripheral nerves during surgical procedures or traumatic injuries.","implant neurawrap nerve protect 10mmx4cm"
346,"Precise Wound Closure with Stratafix PDS Plus Vio CT Suture (45cm)","Suture is a medical procedure in which a thread-like device is used to stitch or close a wound or incision in the body. Stratafix, PDS Plus, and Vio CT 45cm are types of sutures.","suture stratafix pds plus vio ct 45cm"
347,"Acetabular liner replacement with a 20-degree angle and 36mm size.","No Description","hip liner acet reflect 4 20deg 36mm szf"
348,"Balloon Impact Admiral Catheterization with a 5x60mmx130cm Balloon","Balloon Impact Admiral Catheterization with a 5x60mmx130cm Balloon","balloon inpact admiral 5x60mmx130cm"
349,"Allograft Skin Graft, Size 8x16, Thickness 1.2-2.0mm, Select Grade","This is a medical procedure for using a type of tissue graft called Alloderm Select, measuring 8x16 millimeters and with a thickness ranging from 1.2 to 2.0 millimeters. It is not specified what specific procedure this graft will be used for.","graft alloderm select 8x16 med 1.2-2.0"
350,"Allograft Dermal Selective Grafting with Con Med Perf-thin 0.8-1.2","Allograft Dermal Selective Grafting with Con Med Perf-thin 0.8-1.2","graft dermal alloderm select con med perf-thn 0.8-1.2"
351,"Extraction of Central Venous Access Device with Attached Port/Pump","The medical procedure is the removal of a Central Venous Access Device (CVAD) with a Port or Pump. This is a device that is implanted under the skin and provides direct access to the patient's bloodstream for medication administration, blood transfusions, or other medical treatment. The removal procedure involves surgically removing the device and closing the incision site.","removal cvad w/ port/pump"
352,"Full-body PET-CT Scan with a Focus on the Skull and Thigh Region.","This is a medical imaging procedure called PET-CT, which uses a combination of positron emission tomography (PET) and computed tomography (CT) to capture images of the body's organs and tissues. The scan encompasses the skull base to the midthigh area.","pet ct skull base to midthigh"
353,"Right breast biopsy with additional lesion structure examination.","Breast biopsy is a medical procedure that involves the removal of breast tissue or cells for further examination under a microscope to diagnose breast cancer or any other abnormalities. Add lesn strotc right is not a recognized medical term and does not provide any meaningful information in this context.","breast biopsy add lesn strotc right"
354,"Brachiocephalic Third-Order Selective Catheterization Angiography","Brachiocephalic Third-Order Selective Catheterization Angiography","select cath art - brach-ceph 3rd order"
355,"Single-shot intercostal nerve block injection for pain management","The medical procedure is injecting anesthetic into the intercostal nerves, which are located between the ribs. This is often done to block pain signals from a specific area of the body, such as the chest or abdomen, during surgery or other medical procedures. It can also be used to manage chronic pain conditions.","inject anes intercostal nerve single"
356,"Injecting both sides of the lower back's first level facet joint.","This is a medical procedure where medication is injected into the facet joint at the 1st level of the lumbar spine bilaterally. It may be used to help diagnose or treat pain in the lower back.","inject facet jnt l/s 1-level bilat*"
357,"Skin Punch Biopsy for Additional Lesion Removal (CPT Code: 11105)","This medical procedure is a punch biopsy of the skin specifically for adding each lesion, and its code is 11105.","punch biopsy of skin; each add lesion (11105)"
358,"MRI Knee without contrast with metal reduction on the right side.","MRI of the right knee joint without contrast and with metal artifact reduction.","mri knee w/o cnt w/metal reduction rt"
359,"Knotless Tightrope Repair Surgery for Joint Stability Enhancement","Knotless Tightrope Repair Surgery for Joint Stability Enhancement","kit repair tightrope knotless ss ar-8926"
360,"Quick Connect Bit Drill for 4.5mm Surgery (Symbol code: 71173506)","Quick Connect Bit Drill for 4.5mm Surgery (Symbol code: 71173506)","bit drill w/quick connect 4.5mm 71173506"
361,"Surgimend Mesh Hernia Repair using 3.0 technology in 13x25cm size","This is a description of a medical procedure called Mesh Surgimend 3.0 hernia repair. It involves using a mesh implant measuring 13x25cm to repair a hernia. The Surgimend mesh is specially designed to promote tissue integration and healing.","mesh surgimend 3.0 hernia repair 13x25cm"
362,"Laparoscopic XL Oval Patch Repair for Ventral Hernia (8.7x10.7cm)","This is a medical procedure called ventral hernia repair with a ventral patch. The patch used is an oval-shaped mesh, measuring 8.7 x 10.7 cm, and is placed over the hernia defect in the abdominal wall.","patch hernia ventrio st xl oval 8.7x10.7"
363,"Penile and Scrotal Bioflex Pump with Over-the-Counter (OTC) Pump.","Penile and Scrotal Bioflex Pump with Over-the-Counter (OTC) Pump.","pump penile scrotal bioflex w/otr pump"
364,"Non-surgical Fat Reduction with Reusable Fiber Laser Slimline 550","Non-surgical Fat Reduction with Reusable Fiber Laser Slimline 550","fiber laser slimline 550 reusable"
365,"Gastrointestinal Biopsy Using a Forceps and a Flexible Endoscope.","Gastrointestinal Biopsy Using a Forceps and a Flexible Endoscope.","forceps biopsy disp enteroscope"
366,"Flexible Laser Probe with 40 Degree Angled Tip and 25 Gauge Size.","Flexible Laser Probe with 40 Degree Angled Tip and 25 Gauge Size.","probe laser flexible tip 40deg 25ga"
367,"Fiber Laser Ent- Surgery to treat Ear, Nose and Throat Disorders.","Fiber Laser Ent- Surgery to treat Ear, Nose and Throat Disorders.","fiber laser ent"
368,"Assurity MRI Pacemaker Implantation Procedure (Model PM2272-U-PR)","The medical procedure is the Pacemaker Assurity MRI, model number U PR PM2272. This is a type of pacemaker that is safe for use during magnetic resonance imaging (MRI) procedures.","pacemaker assurity mri u pr pm2272"
369,"Cannula Quick-Connect Drill Procedure with 1.9mm Cannula - CDC-19","No Description","drill quick connect 1.9mm cann drll-cdc-19"
370,"MRI-guided Hip Biopsy with 18.5mm ID Trephine Needle, Non-Sterile","MRI-guided Hip Biopsy with 18.5mm ID Trephine Needle, Non-Sterile","hip trephine 18.5mm id mri non-ster"
371,"Deep Brain Mapping with 16 Electrodes Placed 68.5mm for Recording","This is a medical procedure known as Electrode Depth SEEG (stereoelectroencephalography). It involves the placement of electrodes into specific areas of the brain to record electrical activity and identify the location of seizures or other neurological disorders. The procedure uses a grid of electrodes, typically 16 contacts, inserted to a depth of 68.5mm to accurately monitor and record brain activity.","electrode depth seeg 16 contact 68.5mm recording"
372,"Miniature Intracranial Pressure Sensor (MIPS) Backup Kit Surgery.","Miniature Intracranial Pressure Sensor (MIPS) Backup Kit Surgery.","kit backup mips surgery 3mm 192233"
373,"Personalized MRI-Guided Knee Replacement Surgery with Lima Guide.","Personalized MRI-Guided Knee Replacement Surgery with Lima Guide.","guide lima personalized surgical mri tka"
374,"Surgical Aortic Valve Replacement using the Resilia 23mm Conduit.","This is a description of a specific type of aortic valve replacement surgery. The conduit refers to a tube-like structure used to replace the damaged part of the aorta, while valved indicates that the replacement also includes a functioning valve. Konect Resilia 23mm is likely a specific type of valve product used in the procedure.","conduit aortic valved konect resilia 23mm"
375,"Repair of the Achilles tendon with a surgically implanted device.","This is a medical procedure known as Achilles Tendon Repair, which involves repairing the torn or ruptured Achilles tendon using surgical instruments and techniques. This procedure involves making a small incision in the affected area and using specialized instruments to access the damaged tendon and reattach it to the heel bone. It may involve the use of sutures, anchors, or other devices to secure the tendon in place as it heals.","set instrument pars achilles repair"
376,"CT scan of the eye sockets and pituitary gland without contrast.","This medical procedure is a CT scan of the orbits (eye sockets) and sella turcica (a bony structure at the base of the skull) without the use of a contrast agent.","ct orbits sella w/o contrast"
377,"Computed Tomography (CT) Scan of the Brain/Head Without Contrast","CT brain/head w/o contrast is a medical imaging procedure that uses computed tomography (CT) technology to create detailed images of the brain and head without the use of a contrast agent. It is typically used to evaluate and diagnose conditions affecting the brain such as strokes, tumors, and head injuries.","ct brain/head w/o contrast"
378,"Computed tomography (CT) scan of the right hip without contrast.","This is a medical imaging procedure called CT (Computed Tomography) scan of the right hip without the use of contrast agents.","ct hip w/o contrast right"
379,"MRI of the Left Elbow with and without Contrast-Agent Injection.","This is a medical imaging procedure called magnetic resonance imaging (MRI) that focuses on the left elbow. The imaging is done with and without the use of a contrast agent to better highlight certain features or conditions.","mri elbow w/ + w/o contrast left"
380,"Magnetic Resonance Imaging (MRI) of Left Upper Arm with Contrast","This medical procedure is a magnetic resonance imaging (MRI) scan of the left upper extremity (arm) with the use of a contrast agent.","mri upper extremity w/ contrast left"
381,"Magnetic Resonance Imaging (MRI) of the Left Wrist with Contrast","This medical procedure is magnetic resonance imaging (MRI) of the left wrist with contrast. It uses a magnetic field and radio waves to create detailed images of the wrist joint and surrounding tissues. Contrast material is injected into the bloodstream to make certain structures or areas more visible in the images.","mri wrist w/ contrast left"
382,"Computed Tomography Angiography (CTA) of the Abdomen and Pelvis.","CT Angiography (CTA) of the Abdomen and Pelvis is a medical procedure that uses a contrast dye and computer technology to create high-resolution images of blood vessels in the abdomen and pelvis. This procedure is used to diagnose a variety of conditions such as blood clots, aneurysms, and artery blockages.","ct angio abdomen and pelvis"
383,"Liver biopsy with a Needle via the Skin, Percutaneous Procedure.","This is a medical procedure called needle biopsy of liver, percutaneous (also known as percutaneous liver biopsy), with the code 47000. It involves using a needle inserted through the skin to remove a small piece of tissue from the liver for diagnostic purposes.","needle biopsy of liver, percutaneous 47000"
384,"CT-guided needle placement with sterile preparation and imaging.","This medical procedure involves the placement of a needle under the guidance of CT imaging. S&I possibly refers to the documentation of the procedure, including a description of the needle placement and any complications.","ct guidance needle plcmnt s&i"
385,"Removal of Obstruction in Central Venous Catheter (CVC) Pericath","This medical procedure is the Removal of Mechanical Central Venous Catheter (CVC) Pericatheter Obstruction. It involves the removal of a blockage or obstruction around a mechanical tube (catheter) that has been placed in a large vein in the body for medical treatment or diagnostic purposes.","removal mech cvc pericath obstruction"
386,"Endovascular Abdominal Aortic Aneurysm Repair with Dual Docking.","Endovascular Abdominal Aortic Aneurysm Repair with Dual Docking.","deleted endovas aaa repair two docking"
387,"Frequent On-Road Assessment for Evaluation of Driving Abilities.","No description.","ot driving evaluation ea 15 min 97535"
388,"Bilateral injection of cervical facet joints at the second level","This medical procedure is an injection of the facet joint located in the cervical thoracic region of the spine at the second level on both sides. It is commonly used to treat pain and inflammation in the neck and upper back.","inject facet jnt c/t 2nd-level bilat*"
389,"Hip Joint Liner with Acetabular Reflect 20 Degrees, Sizes 46-48.","Hip Joint Liner with Acetabular Reflect 20 Degrees, Sizes 46-48.","hip liner acetab reflect 20deg 46-48"
390,"Hip joint resurfacing with a 20-degree acetabular liner reflect.","No description.","hip liner acetab reflect 20deg"
391,"Endoscopic sinus surgery with a specialized drill and connector.","Endoscopic sinus surgery with a specialized drill and connector.","bit drill w/quick connect 3.5mm 71173505"
392,"Ring Replacement Surgery with Ringloc System in Size 24 (106024)","This is a medical procedure for the replacement of a Ringloc Size 24 (106024) ring, but without further context or information, it is unclear what specific procedure it refers to.","ring replacement ringloc sz24 106024"
393,"Silver Kit Pain Pump Expansion for On-Q Pain Relief - 7.5 inches","Silver Kit Pain Pump Expansion for On-Q Pain Relief - 7.5 inches","kit expansion pain pump on-q 7.5in slvr"
394,"Miniature Lead Testing Procedure for Vectris Implantable Device.","No description.","lead subcompact trialing vectris 1x8"
395,"Left Knee Distal Augmentation of 8mm - Procedure Number 96-0882.","Left Knee Distal Augmentation of 8mm - Procedure Number 96-0882.","knee augmentation distal 8mm lt 96-0882"
396,"Distal Knee Augmentation - 4mm LT (Left) - Procedure No. 96-0880","Distal Knee Augmentation - 4mm LT (Left) - Procedure No. 96-0880","knee augmentation distal 4mm lt 96-0880"
397,"Electrode Strip Cortac with 4 Contact Points (Code: 2110-04-032)","No Description","electrode strip cortac 4 contact 2110-04-032"
398,"Laser-Assisted Urological Surgery with the Fiber Laser Moses 550","Laser-Assisted Urological Surgery with the Fiber Laser Moses 550","fiber laser moses 550 d/f/l"
399,"Catheterization with Neuron Select 5FR 120cm BER-shaped Catheter","Catheterization with Neuron Select 5FR 120cm BER-shaped Catheter","cath neuron select 5fr 120cm ber shape"
400,"MRI (Magnetic Resonance Imaging) of the Chest without Contrast.","This is a medical imaging procedure called magnetic resonance imaging (MRI) of the chest without contrast. It uses a magnetic field and radio waves to create detailed images of the organs and tissues inside the chest area. Contrast is a substance that may be added to the MRI to enhance the images, but in this particular procedure, no contrast is used.","mri chest w/o contrast"
401,"MRI scan of the lower leg with and without contrast, left side.","MRI (Magnetic Resonance Imaging) of lower extremity with and without contrast, left side.","mri lower extremity w/ + w/o cnt left"
402,"Magnetic Resonance Imaging (MRI) of the Temporomandibular Joint (TMJ)","MRI TMJ is a medical procedure that involves using magnetic resonance imaging (MRI) to examine the temporomandibular joint (TMJ) which connects the jaw bone to the skull. This technique is used to diagnose various disorders of the TMJ, such as arthritis, injury or dislocation.","mri tmj"
403,"Endovascular Repair of Infrarenal Aorta with Deleted Initiation","Endovascular repair of an infrarenal abdominal aortic aneurysm.","deleted endovasc repair infrarenal initi"
404,"Right Heart Catheterization with RV or RA Angiography Injection","During a heart catheterization procedure, a small amount of contrast dye may be injected into the right ventricle (RV) or right atrium (RA) to perform an angiogram (x-ray imaging) of these chambers. This can help diagnose conditions such as right heart failure or pulmonary hypertension.","inject during heart cath for rv or ra angio"
405,"MRI Hip without Contrast with Metal Reduction on the Right Side","MRI of the right hip without contrast with metal reduction. This is a medical imaging procedure for diagnostic purposes that uses magnetic fields and radio waves to create images of the hip joint without using contrast dye. Metal reduction refers to techniques used to reduce metal artifacts that may occur during imaging in patients with metal implants or prostheses.","mri hip w/o cnt w/metal reduction rt"
406,"Knee MRI without Contrast and with Metal Reduction on Left Side","MRI stands for Magnetic Resonance Imaging. It is a medical procedure that uses strong magnetic fields and radio waves to create detailed images of the internal structures of the body. In this case, the procedure is being done on the knee without contrast (w/o cnt) and with metal reduction (lt).","mri knee w/o cnt w/metal reduction lt"
